mun;idh;ip;vivp;vdef;pvde;pob;purb;tmi;anfe;pagr;ganf;gip;gidh;gvde;gpob;gtmi;gpag;gurb
1;,741;33,8;123477;6603;5,34755460531111;517024;99,9340456149038;53;8,5;3,8;1;1;4;1;4;1;1;4
2;,516;83,6;6118;3616;59,1042824452435;26281;28,0849282751798;86;40,4;55,8;3;3;3;3;3;3;3;2
3;,532;88,5;1099;708;64,4222020018198;4659;0;66;33;67,7;2;4;3;3;1;2;3;1
4;,541;85,5;1394;791;56,7431850789096;6071;0;68;32,1;76,6;2;3;3;3;1;2;4;1
5;,414;97,5;6398;5316;83,0884651453579;26825;7,50792171481827;106;57,2;80,3;4;4;2;4;3;4;4;1
6;,427;98,2;7746;6584;84,9987090111025;34134;0;97;43,8;87,2;3;4;2;4;3;3;4;1
7;,592;69,9;2246;937;41,7186108637578;8715;38,1296615031555;74;33,8;40,2;2;3;3;2;1;2;2;2
8;,42;93,9;2650;1997;75,3584905660377;9126;0;110;52,3;66,2;4;4;2;4;1;4;3;1
9;,568;54,4;2538;437;17,2182821118991;9438;0;71;30,6;47,4;2;2;3;1;1;2;3;1
10;,461;98,2;1189;836;70,3111858704794;4718;0;106;41,5;63,1;3;4;2;3;1;4;3;1
11;,544;68;3081;933;30,2823758519961;11542;30,4280020793623;94;34,8;56;2;3;3;2;2;3;3;2
12;,446;94,9;3209;2188;68,1832346525397;12511;0;109;48,2;85,3;3;4;2;3;2;4;4;1
13;,311;99,2;2904;2627;90,4614325068871;11496;0;122;73,7;82,7;4;4;1;4;2;4;4;1
14;,361;99,9;3213;2874;89,4491129785248;11968;0;118;60,4;79,8;4;4;1;4;2;4;4;1
15;,569;73,6;4283;1796;41,9332243754378;16945;44,1841251106521;67;37,7;61,4;2;3;3;2;2;2;3;2
16;,552;67;1780;608;34,1573033707865;6402;0;75;35,1;65,7;2;3;3;2;1;2;3;1
17;,468;95,8;620;446;71,9354838709677;2235;0;85;53,7;55;4;4;2;3;1;3;3;1
18;,642;46,9;4824;792;16,4179104477612;19992;44,2176870748299;57;25,3;25,5;2;2;4;1;2;1;2;2
19;,544;78,7;1731;670;38,7059503177354;6460;0;67;35,8;65,3;2;3;3;2;1;2;3;1
20;,645;51,4;1080;146;13,5185185185185;5316;41,5161775771257;49;22,2;33,8;2;2;4;1;1;1;2;2
21;,688;30,8;23734;1817;7,65568382910592;104206;75,1626585801202;57;13,5;13,7;1;1;4;1;4;1;1;3
22;,571;64,1;7647;2246;29,3709951615012;31337;10,00095733478;77;30,1;55,6;2;2;3;2;3;2;3;1
23;,677;41,2;8216;1095;13,3276533592989;37791;70,7364187240348;57;14,5;21,8;1;2;4;1;3;1;2;3
24;,64;49,1;7399;1440;19,4620894715502;31489;45,0315983359268;63;18,5;34,6;1;2;4;1;3;2;2;2
25;,678;23,1;9495;366;3,85466034755134;41980;99,182944259171;55;10,8;9;1;1;4;1;3;1;1;4
26;,653;44,2;27384;4188;15,2936021034181;117100;79,0614859094791;63;16,1;18,9;1;2;4;1;4;2;1;3
27;,542;85,2;3685;1265;34,3283582089552;16262;22,7462796703972;87;33;75,6;2;3;3;2;2;3;4;2
28;,517;87,2;15205;9368;61,6113120683985;53996;8,35432254241055;91;30,5;74,9;2;3;3;3;3;3;4;1
29;,376;99,4;6616;5926;89,5707376058041;25919;0;111;60;82,1;4;4;1;4;3;4;4;1
30;,469;92,7;3195;2318;72,5508607198748;12961;0;87;44,8;70,4;3;4;2;3;2;3;3;1
31;,526;87,5;8459;4768;56,3660007093037;34974;17,6845656773603;85;30,4;70,3;2;3;3;3;3;3;3;1
32;,475;93,5;3342;1864;55,7749850388989;13488;0;94;40,6;81,7;3;4;2;3;2;3;4;1
33;,561;82,7;3722;1829;49,1402471789361;15264;25,3799790356394;90;25,4;59,8;2;3;3;2;2;3;3;2
34;,555;81,7;10457;4851;46,389978005164;39518;16,1091148337466;82;27,8;68;2;3;3;2;3;3;3;1
35;,43;93;6345;4774;75,2403467297084;26659;10,0416369706291;112;50,4;69,1;4;4;2;4;3;4;3;1
36;,365;97,3;1221;1027;84,1113841113841;4591;0;127;56,5;73,1;4;4;1;4;1;4;4;1
37;,4;99,5;1053;944;89,6486229819563;4931;0;91;46,6;87,8;3;4;2;4;1;3;4;1
38;,652;44,9;6713;825;12,2895873677938;26140;56,3963274674828;66;24,3;28,3;2;2;4;1;3;2;2;3
39;,569;81,6;1564;698;44,6291560102302;5857;0;64;38;69,2;2;3;3;2;1;2;3;1
40;,588;55,6;3174;585;18,4310018903592;12720;15,9512578616352;72;28,3;51,2;2;2;3;1;2;2;3;1
41;,549;80,5;349;174;49,8567335243553;1210;0;66;29,8;57,5;2;3;3;2;1;2;3;1
42;,516;92,2;466;278;59,656652360515;1808;0;74;41,2;73;3;4;3;3;1;2;4;1
43;,372;98,4;2377;1951;82,0782498948254;8635;0;127;54,2;79,1;4;4;1;4;1;4;4;1
44;,514;84,1;9013;4358;48,3523798957062;35017;12,2540480338121;94;34,2;72,8;2;3;3;2;3;3;4;1
